"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"2140","2132_2164",0,1,1,0.656,0.742,1
"2141","2164_2165",1,1,0,0.742,0.796,1
"2142","2165_2166",1,1,0,0.796,0.876,1
"2143","2166_2167",1,1,0,0.876,0.992,1
"2144","2167_1071",1,1,0,0.992,1,1
"2145","2167_1072",1,1,0,0.992,1,1
"2146","2166_2168",1,1,0,0.876,0.71,0
"2147","2168_1073",1,0,1,0.71,1,1
"2148","2168_2169",1,1,0,0.71,0.77,1
"2149","2169_1074",1,1,0,0.77,1,1
"2150","2169_1075",1,0,1,0.77,1,1
"2151","2165_2170",1,1,0,0.796,0.914,1
"2152","2170_1076",1,1,0,0.914,1,1
"2153","2170_1077",1,1,0,0.914,1,1
"2154","2164_2171",1,1,0,0.742,0.658,0
"2155","2171_2172",1,0,1,0.658,0.704,1
"2156","2172_1078",0,0,0,0.704,1,1
"2157","2172_2173",0,0,0,0.704,0.904,1
"2158","2173_1079",0,0,0,0.904,1,1
"2159","2173_1080",0,0,0,0.904,1,1
"2160","2171_2174",1,1,0,0.658,0.804,1
"2161","2174_1081",1,0,1,0.804,1,1
"2162","2174_2175",1,1,0,0.804,0.914,1
"2163","2175_2176",1,1,0,0.914,0.884,0
"2164","2176_1082",1,1,0,0.884,1,1
"2165","2176_1083",1,0,1,0.884,1,1
"2166","2175_2177",1,1,0,0.914,0.94,1
"2167","2177_2178",1,1,0,0.94,0.994,1
"2168","2178_2179",1,1,0,0.994,1,1
"2169","2179_2180",1,1,0,1,1,0
"2170","2180_1084",1,1,0,1,1,0
"2171","2180_1085",1,1,0,1,1,0
"2172","2179_2181",1,1,0,1,0.986,0
"2173","2181_1086",1,0,1,0.986,1,1
"2174","2181_1087",1,1,0,0.986,1,1
"2175","2178_2182",1,1,0,0.994,1,1
"2176","2182_1088",1,1,0,1,1,0
"2177","2182_1089",1,1,0,1,1,0
"2178","2177_2183",1,1,0,0.94,0.77,0
"2179","2183_2184",1,1,0,0.77,0.762,0
"2180","2184_1090",1,1,0,0.762,1,1
"2181","2184_1091",1,0,1,0.762,1,1
"2182","2183_2185",1,0,1,0.77,0.944,1
"2183","2185_1092",0,0,0,0.944,1,1
"2184","2185_1093",0,0,0,0.944,1,1
